url,zone,days,total invested,deposits number,TopListPrc,monitors number,design,text,licence,forums,reviews,listings,firstLap,plans
coinage.icu,icu,98,70,6,100,6,753,467,1,12,0,0,1,1.92
nextgenmining.club,club,98,-1,-1,-1,-1,14,4,0,5,0,-1,-1,1.2
archwood.bid,bid,98,-1,-1,100,1,78,23,1,0,0,0,1,24.8
btcgains.cc,cc,98,-1,-1,100,1,0,0,0,2,0,0,1,700
investtrend.biz,biz,97,47747,502,18.42,38,0,0,1,20,8,1,1,2
rubi-ltd.com,com,97,16471,261,100,1,0,0,0,0,0,0,1,20.4
winnerstrump.com,com,97,14287,1043,100,1,0,0,0,0,0,0,1,1
margince.com,com,97,3621,103,50,6,5,46,1,19,1,287,1,5
optiontrader.ltd,ltd,97,1270,13,100,2,1,0,0,4,0,0,1,10
fcm-market.com,com,97,500,2,75,4,0,0,0,10,3,899,-1,0.29
btc-take.com,com,97,280,9,100,1,0,0,0,0,0,0,-1,-1
oil-arab.ltd,ltd,97,222,3,0,1,6,4,0,0,1,30,1,4
spring-feast.ru,ru,97,-1,-1,100,1,0,0,0,1,0,0,-1,-1
smartminfin.com,com,97,-1,-1,0,1,1,0,1,0,1,0,-1,1
megaline.pw,pw,97,-1,-1,100,1,234,39,1,0,0,0,1,128
mega-funds.com,com,97,-1,-1,100,1,8,0,1,0,0,0,1,50
crypto-trader.club,club,96,97870,955,93.33,30,4,3,1,15,6,0,1,1
fexfund.net,net,96,45456,803,66.67,3,0,0,0,0,0,0,1,9
tycap.io,io,96,37650,216,65,20,1,0,0,18,7,0,-1,1
miningbot.io,io,96,23755,313,100,2,0,0,0,0,0,0,-1,2
nanoincorp.com,com,96,21527,88,100,1,715,369,1,0,0,0,1,1.1
omon.me,me,96,16217,299,100,1,0,0,0,0,0,0,1,0.8
origami.capital,capital,96,14319,254,100,1,0,0,0,3,0,0,1,4.44
dlbglobal.org,org,96,13064,391,66.67,9,0,0,0,12,0,0,-1,1
bixprout.com,com,96,20,1,83.33,6,0,10,1,4,0,0,1,3
idle-miner.org,org,96,-1,-1,-1,-1,2,0,0,1,0,-1,-1,0.67
