url,zone,days,total invested,deposits number,TopListPrc,monitors number,design,text,licence,forums,reviews,listings,firstLap,plans
exxa.net,net,204,-1,-1,33.33,6,0,0,0,1,9,0,1,6
golden-mine.pro,pro,204,-1,-1,0,2,0,0,0,5,1,0,-1,1.7
fintradecenter.com,com,202,-1,-1,0,1,0,0,0,1,1,0,-1,0.79
gurmoney.com,com,199,-1,-1,0,3,0,0,0,0,1,65,-1,2
nextradebox.com,com,196,11419,42,25,8,82,2,1,25,0,299,0,0.4
smartex.network,network,196,-1,-1,100,1,0,0,1,0,1,0,-1,-1
quantumai.trade,trade,195,18192,181,28.57,21,6,0,0,29,1,1,0,0.1
exnglory.com,com,192,19555,71,18.18,11,1,0,0,16,4,786,1,1
aigain.com,com,190,-1,-1,66.67,3,0,0,0,0,2,300,-1,0.33
profitminers.biz,biz,189,21592,179,0,4,0,0,0,15,1,189,1,0.5
libre.trade,trade,187,51086,795,0,4,8,0,1,22,0,200,1,1.2
cosmo-sfera.biz,biz,182,-1,-1,0,1,0,0,0,4,1,0,-1,1.67
gmcrypto.biz,biz,181,8514,107,0,7,752,589,1,14,1,216,1,0.71
unitrade.enterprises,enterprises,181,781,21,20,5,0,0,0,9,2,194,1,0.4
finstorage.biz,biz,180,10,1,14.29,7,725,461,1,21,0,40,0,2
tema.fund,fund,174,-1,-1,33.33,3,0,0,1,1,5,0,-1,10
myfinance.world,world,173,36239,610,9.09,11,15,0,1,14,3,240,1,1
itm-fund.com,com,173,215,1,0,3,0,0,0,0,2,100,1,0.7
topfinance.biz,biz,173,10,1,0,5,92,1,1,8,2,70,0,0.1
buildbit.biz,biz,172,3270,52,0,4,731,464,1,13,0,75,1,2.3
fractionalcrypto.com,com,172,100,1,0,1,0,0,0,0,0,49,-1,-1
